"Brnd_Name","Year","Tot_Spndng"
Asa-Butalb-Caffeine-Codeine,"2025 (Q1-Q3)",815635.0
Asceniv,"2024 (Q1-Q4)",4002077.8
Asceniv,"2025 (Q1-Q3)",5721530.0
Ascomp With Codeine,"2024 (Q1-Q4)",474114.47
Ascomp With Codeine,"2025 (Q1-Q3)",326556.22
Asenapine Maleate,"2024 (Q1-Q4)",17749034
Asenapine Maleate,"2025 (Q1-Q3)",10738147
Ashlyna,"2024 (Q1-Q4)",60421.67
Ashlyna,"2025 (Q1-Q3)",43052.1
Asmanex,"2024 (Q1-Q4)",6511791.0
Asmanex,"2025 (Q1-Q3)",4576977.5
Asmanex HFA,"2024 (Q1-Q4)",4089599.5
Asmanex HFA,"2025 (Q1-Q3)",3317008.0
Aspirin-Dipyridamole ER,"2024 (Q1-Q4)",16793740
Aspirin-Dipyridamole ER,"2025 (Q1-Q3)",9894633.0
Aspruzyo Sprinkle,"2024 (Q1-Q4)",4815.7
Assure Id Insulin Safety,"2024 (Q1-Q4)",271.77
